Index,Journal Name,ISSN,Category
1,Geology,0091-7613,区
2,Nature Geoscience,1752-0894,区
3,Earth and Planetary Science Letters,0012-821X,区
4,Geochimica et Cosmochimica Acta,0016-7037,区
5,Journal of Geophysical Research: Solid Earth,2169-9313,区
6,Geological Society of America Bulletin,0016-7606,区
7,Precambrian Research,0301-9268,区
8,Chemical Geology,0009-2541,区
9,Journal of Structural Geology,0191-8141,区
10,Tectonics,0278-7407,区
11,Lithos,0024-4937,区
12,Ore Geology Reviews,0169-1368,区
13,Economic Geology,0361-0128,区
14,Mineralium Deposita,0026-4598,区
15,Journal of Petrology,0022-3530,区
16,Contributions to Mineralogy and Petrology,0010-7999,区
17,American Mineralogist,0003-004X,区
18,Geophysical Research Letters,0094-8276,区
19,Journal of Volcanology and Geothermal Research,0377-0273,区
20,Quaternary Science Reviews,0277-3791,区